Year,Coach,School,Conf,W,L,Pct
2013,Tony Levine,Houston,American,8,5,0.615
2013,Rocky Long,San Diego State,MWC,8,5,0.615
2013,Bronco Mendenhall,Brigham Young,Ind,8,5,0.615
2013,Jeff Quinn,Buffalo,MAC,8,5,0.615
2013,Mark Richt,Georgia,SEC,8,5,0.615
2013,Rich Rodriguez,Arizona,Pac-12,8,5,0.615
2013,Bill Snyder,Kansas State,Big 12,8,5,0.615
2013,Rick Stockstill,Middle Tennessee State,CUSA,8,5,0.615
2013,Jim McElwain,Colorado State,MWC,8,6,0.571
2013,Matt Campbell,Toledo,MAC,7,5,0.583
2013,Larry Coker,UTSA,CUSA,7,5,0.583
2013,Bryan Harsin,Arkansas State,Sun Belt,7,5,0.583
2013,Bill O'Brien,Penn State,Big Ten,7,5,0.583
2013,Steve Addazio,Boston College,ACC,7,6,0.538
2013,Paul Chryst,Pitt,ACC,7,6,0.538
2013,Randy Edsall,Maryland,ACC,7,6,0.538
2013,Larry Fedora,North Carolina,ACC,7,6,0.538
2013,Bobby Hauck,UNLV,MWC,7,6,0.538
2013,Brady Hoke,Michigan,Big Ten,7,6,0.538
2013,Curtis Johnson,Tulane,CUSA,7,6,0.538
2013,Paul Johnson,Georgia Tech,ACC,7,6,0.538
2013,Dan Mullen,Mississippi State,SEC,7,6,0.538
2013,Mike Riley,Oregon State,Pac-12,7,6,0.538
2013,Scott Shafer,Syracuse,ACC,7,6,0.538
2013,Frank Solich,Ohio,MAC,7,6,0.538
2013,Ed Orgeron,USC,Pac-12,6,2,0.75
2013,Todd Berry,Louisiana-Monroe,Sun Belt,6,6,0.5
2013,Larry Blakeney,Troy,Sun Belt,6,6,0.5
2013,Ron Caragher,San Jose State,MWC,6,6,0.5
2013,Dan Enos,Central Michigan,MAC,6,6,0.5
2013,Dennis Franchione,Texas State,Sun Belt,6,6,0.5
2013,Joey Jones,South Alabama,Sun Belt,6,6,0.5
2013,Kyle Flood,Rutgers,American,6,7,0.462
2013,Mike Leach,Washington State,Pac-12,6,7,0.462
2013,Terry Bowden,Akron,MAC,5,7,0.417
2013,Dave Christensen,Wyoming,MWC,5,7,0.417
2013,Pat Fitzgerald,Northwestern,Big Ten,5,7,0.417
2013,Butch Jones,Tennessee,SEC,5,7,0.417
2013,June Jones,SMU,American,5,7,0.417
2013,Kyle Whittingham,Utah,Pac-12,5,7,0.417
2013,Kevin Wilson,Indiana,Big Ten,5,7,0.417
2013,Brian Wright,Florida Atlantic,CUSA,4,0,1
2013,Tim Beckman,Illinois,Big Ten,4,8,0.333
2013,Jim Grobe,Wake Forest,ACC,4,8,0.333
2013,Paul Haynes,Kent State,MAC,4,8,0.333
2013,Dana Holgorsen,West Virginia,Big 12,4,8,0.333
2013,Skip Holtz,Louisiana Tech,CUSA,4,8,0.333
2013,Mike MacIntyre,Colorado,Pac-12,4,8,0.333
2013,Will Muschamp,Florida,SEC,4,8,0.333
2013,Gary Patterson,TCU,Big 12,4,8,0.333
2013,Brian Polian,Nevada,MWC,4,8,0.333
2013,Lane Kiffin,USC,Pac-12,3,2,0.6
2013,TJ Weist,Connecticut,American,3,5,0.375
2013,Bret Bielema,Arkansas,SEC,3,9,0.25
2013,Bill Blankenship,Tulsa,CUSA,3,9,0.25
2013,Bob Davie,New Mexico,MWC,3,9,0.25
2013,Dave Doeren,North Carolina State,ACC,3,9,0.25
2013,Rich Ellerson,Army,Ind,3,9,0.25
2013,Justin Fuente,Memphis,American,3,9,0.25
2013,Paul Rhoads,Iowa State,Big 12,3,9,0.25
2013,Charlie Weis,Kansas,Big 12,3,9,0.25
2013,Carl Pelini,Florida Atlantic,CUSA,2,6,0.25
2013,Troy Calhoun,Air Force,MWC,2,10,0.167
2013,Sean Kugler,UTEP,CUSA,2,10,0.167
2013,Mike London,Virginia,ACC,2,10,0.167
2013,Doug Martin,New Mexico State,Ind,2,10,0.167
2013,Garrick McGee,UAB,CUSA,2,10,0.167
2013,Matt Rhule,Temple,American,2,10,0.167
2013,Mark Stoops,Kentucky,SEC,2,10,0.167
2013,Willie Taggart,South Florida,American,2,10,0.167
2013,Clay Helton,USC,Pac-12,1,0,1
2013,John Thompson,Arkansas State,Sun Belt,1,0,1
2013,Marques Tuiasosopo,Washington,Pac-12,1,0,1
2013,Stan Parrish,Eastern Michigan,MAC,1,2,0.333
2013,Ron English,Eastern Michigan,MAC,1,8,0.111
2013,Norm Chow,Hawaii,MWC,1,11,0.083
2013,Sonny Dykes,California,Pac-12,1,11,0.083
2013,P.J. Fleck,Western Michigan,MAC,1,11,0.083
2013,Darrell Hazell,Purdue,Big Ten,1,11,0.083
2013,Charley Molnar,Massachusetts,MAC,1,11,0.083
2013,Todd Monken,Southern Mississippi,CUSA,1,11,0.083
2013,Paul Petrino,Idaho,Ind,1,11,0.083
2013,Ron Turner,Florida International,CUSA,1,11,0.083
2013,Mike Bath,Miami (OH),MAC,0,7,0
2013,Bob Gregory,Boise State,MWC,0,1,0
2013,Trent Miles,Georgia State,Sun Belt,0,12,0
2013,Paul Pasqualoni,Connecticut,American,0,4,0
2013,Don Treadwell,Miami (OH),MAC,0,5,0
