Year,Coach,School,Conf,W,L,Pct
2014,Rick Stockstill,Middle Tennessee State,CUSA,6,6,0.5
2014,Bobby Wilder,Old Dominion,Sun Belt,6,6,0.5
2014,Tim Beckman,Illinois,Big Ten,6,7,0.462
2014,Larry Fedora,North Carolina,ACC,6,7,0.462
2014,Al Golden,Miami (FL),ACC,6,7,0.462
2014,Joey Jones,South Alabama,Sun Belt,6,7,0.462
2014,Charlie Strong,Texas,Big 12,6,7,0.462
2014,Tim DeRuyter,Fresno State,MWC,6,8,0.429
2014,Terry Bowden,Akron,MAC,5,7,0.417
2014,Sonny Dykes,California,Pac-12,5,7,0.417
2014,Pat Fitzgerald,Northwestern,Big Ten,5,7,0.417
2014,Brady Hoke,Michigan,Big Ten,5,7,0.417
2014,Pete Lembo,Ball State,MAC,5,7,0.417
2014,Mike London,Virginia,ACC,5,7,0.417
2014,Mike Riley,Oregon State,Pac-12,5,7,0.417
2014,Mark Stoops,Kentucky,SEC,5,7,0.417
2014,Todd Berry,Louisiana-Monroe,Sun Belt,4,8,0.333
2014,Craig Bohl,Wyoming,MWC,4,8,0.333
2014,Larry Coker,UTSA,CUSA,4,8,0.333
2014,Bob Davie,New Mexico,MWC,4,8,0.333
2014,Kliff Kingsbury,Texas Tech,Big 12,4,8,0.333
2014,Dan McCarney,North Texas,CUSA,4,8,0.333
2014,Jeff Monken,Army,Ind,4,8,0.333
2014,Willie Taggart,South Florida,American,4,8,0.333
2014,Ron Turner,Florida International,CUSA,4,8,0.333
2014,Kevin Wilson,Indiana,Big Ten,4,8,0.333
2014,Norm Chow,Hawaii,MWC,4,9,0.308
2014,Jeff Quinn,Buffalo,MAC,3,4,0.429
2014,Larry Blakeney,Troy,Sun Belt,3,9,0.25
2014,Ron Caragher,San Jose State,MWC,3,9,0.25
2014,Dave Clawson,Wake Forest,ACC,3,9,0.25
2014,Darrell Hazell,Purdue,Big Ten,3,9,0.25
2014,Curtis Johnson,Tulane,American,3,9,0.25
2014,Mike Leach,Washington State,Pac-12,3,9,0.25
2014,Derek Mason,Vanderbilt,SEC,3,9,0.25
2014,Todd Monken,Southern Mississippi,CUSA,3,9,0.25
2014,Charlie Partridge,Florida Atlantic,CUSA,3,9,0.25
2014,Scott Shafer,Syracuse,ACC,3,9,0.25
2014,Mark Whipple,Massachusetts,MAC,3,9,0.25
2014,Charlie Weis,Kansas,Big 12,2,2,0.5
2014,Alex Wood,Buffalo,MAC,2,2,0.5
2014,Paul Haynes,Kent State,MAC,2,9,0.182
2014,Bill Blankenship,Tulsa,American,2,10,0.167
2014,Chris Creighton,Eastern Michigan,MAC,2,10,0.167
2014,Bob Diaco,Connecticut,American,2,10,0.167
2014,Mike MacIntyre,Colorado,Pac-12,2,10,0.167
2014,Chuck Martin,Miami (OH),MAC,2,10,0.167
2014,Doug Martin,New Mexico State,Sun Belt,2,10,0.167
2014,Paul Rhoads,Iowa State,Big 12,2,10,0.167
2014,Bobby Hauck,UNLV,MWC,2,11,0.154
2014,Barry Alvarez,Wisconsin,Big Ten,1,0,1
2014,D.J. Durkin,Florida,SEC,1,0,1
2014,David Gibbs,Houston,American,1,0,1
2014,Clint Bowen,Kansas,Big 12,1,7,0.125
2014,Tom Mason,SMU,American,1,9,0.1
2014,Paul Petrino,Idaho,Sun Belt,1,10,0.091
2014,Trent Miles,Georgia State,Sun Belt,1,11,0.083
2014,Dave Baldwin,Colorado State,MWC,0,1,0
2014,Barney Cotton,Nebraska,Big Ten,0,1,0
2014,June Jones,SMU,American,0,2,0
2014,Joe Rudolph,Pitt,ACC,0,1,0
