Year,Coach,School,Conf,W,L,Pct
2019,Philip Montgomery,Tulsa,American,4,8,0.333
2019,Will Muschamp,South Carolina,SEC,4,8,0.333
2019,Tony Sanchez,UNLV,MWC,4,8,0.333
2019,David Shaw,Stanford,Pac-12,4,8,0.333
2019,Rick Stockstill,Middle Tennessee State,CUSA,4,8,0.333
2019,Charlie Strong,South Florida,American,4,8,0.333
2019,Kevin Sumlin,Arizona,Pac-12,4,8,0.333
2019,Jeff Tedford,Fresno State,MWC,4,8,0.333
2019,Matt Wells,Texas Tech,Big 12,4,8,0.333
2019,Frank Wilson,UTSA,CUSA,4,8,0.333
2019,Mike Bloomgren,Rice,CUSA,3,9,0.25
2019,Geoff Collins,Georgia Tech,ACC,3,9,0.25
2019,Pat Fitzgerald,Northwestern,Big Ten,3,9,0.25
2019,Mike Locksley,Maryland,Big Ten,3,9,0.25
2019,Scot Loeffler,Bowling Green State,MAC,3,9,0.25
2019,Derek Mason,Vanderbilt,SEC,3,9,0.25
2019,Les Miles,Kansas,Big 12,3,9,0.25
2019,Jake Spavital,Texas State,Sun Belt,3,9,0.25
2019,Odell Haggins,Florida State,ACC,2,2,0.5
2019,Chad Morris,Arkansas,SEC,2,8,0.2
2019,Steve Campbell,South Alabama,Sun Belt,2,10,0.167
2019,Bob Davie,New Mexico,MWC,2,10,0.167
2019,Randy Edsall,Connecticut,American,2,10,0.167
2019,Doug Martin,New Mexico State,,2,10,0.167
2019,Shawn Clark,Appalachian State,Sun Belt,1,0,1
2019,Chris Ash,Rutgers,Big Ten,1,3,0.25
2019,Nunzio Campanile,Rutgers,Big Ten,1,7,0.125
2019,Walt Bell,Massachusetts,Ind,1,11,0.083
2019,Dana Dimel,UTEP,CUSA,1,11,0.083
2019,Bobby Wilder,Old Dominion,CUSA,1,11,0.083
2019,Tom Arth,Akron,MAC,0,12,0
2019,Rich Gunnell,Boston College,ACC,0,1,0
2019,Barry Lunney Jr.,Arkansas,SEC,0,2,0
